index,tittle,genre,overview,director,cast
162,Oopiri,Comedy,A heartwarming comedy-drama (remake of The Intouchables) about the bond between a paralyzed millionaire and his carefree caretaker.,Vamshi Paidipally,Nagarjuna Akkineni
163,Kadhalum Kadanthu Pogum,Comedy,"A romantic comedy about an unlikely love story between a gangster and an ambitious girl, remade from My Sassy Girl.",Nalan Kumarasamy,Vijay Sethupathi
164,Pichaikkaran,Action,"An action drama about a wealthy man living as a beggar for 50 days to save his mother, blending action with emotional stakes.",Sasi,Vijay Antony
165,Saala Khadoos,Action,"A sports drama about a disgraced boxing coach training a rebellious young woman to become a champion, remade from Irudhi Suttru.",Sudha Kongara,Madhavan
166,Crime 23,Action,"A lesser-known action film focusing on crime and retribution, though specific plot details are sparse in available records.",Arivazhagan Venkatachalam,Arun Vijay
167,Muthuramalingam,Action,"An action drama about a village youth caught in family feuds and local power struggles, rooted in rural Tamil Nadu.",Rajadurai,Priya Anand
168,Dream Factory,Drama,"A drama exploring the struggles of aspiring filmmakers in the Tamil film industry, highlighting ambition and perseverance.",Arun Chidambaram,Jiya Anil Manne
169,Yaman,Action,"A political action thriller about a common man’s fight against corruption and power, starring Vijay Antony.",Jeeva Shankar,Vijay Antony
170,Ennodu Vilayadu,Thriller,"A thriller about a man entangled in a gambling scam, navigating danger and deception to reclaim his life.",Arun Krishnaswami,Bharath Srinivasan
171,Kadhal Kan Kattudhe,Drama,"A romantic drama about modern relationships, exploring love, misunderstandings, and emotional growth.",Shivaraj,Aneeruth
172,Pagadi Aattam,Crime,"A crime drama about a police officer uncovering a conspiracy involving illegal activities, with a focus on justice.",Ram K. Chandran,Rahman
173,Rum,Horror,"A horror-thriller about a couple encountering supernatural events in a secluded house, blending scares with suspense.",Sai Bharath,Arjun Chidambaram
174,Singam 3,Action,"The third installment of the Singam franchise, featuring Suriya as a fearless cop tackling international crime syndicates.",Hari,Suriya
175,Bogan,Action,"An action thriller about body-swapping between a cop and a criminal, leading to a battle of wits and action.",Lakshman,Jayam Ravi
176,Enakku Vaaitha Adimaigal,Comedy,"A comedy about four friends navigating personal crises with humor, focusing on friendship and love.",Mahendran Rajamani,Jai
177,Koditta Idangalai Nirappuga,Comedy,"A quirky comedy-drama about a man’s obsession with a married woman, leading to chaotic and humorous situations.",Parthiban,Shanthnu Bhagyaraj
178,Adhe Kangal,Action,"A thriller about a visually impaired chef caught in a web of crime and deception, with unexpected twists.",Rohin Venkatesan,R. Aravindraj
179,Bairavaa,Action,A Vijay-starrer action drama about a man taking on a corrupt education mafia to seek justice for a friend’s death.,Bharathan,Joseph Vijay
180,Lens,Drama,"A psychological drama about online voyeurism and its consequences, exploring privacy and morality in the digital age.",Jayaprakash Radhakrishnan,Anand Sami
181,Aruvi,Drama,"A bold drama about a young woman’s rebellion against societal norms, addressing issues like consumerism and patriarchy with raw emotion.",Arun Prabhu Purushothaman,Aditi Balan
182,Ulkuththu,Thriller,"An action-thriller set in a coastal village, focusing on rivalry, revenge, and local power dynamics.",Caarthick Raju,Dr. Chef Damodaran
183,Balloon,Horror,"A horror-comedy about a filmmaker haunted by supernatural events tied to his own horror movie, blending scares and laughs.",Sinish,Anjali
184,Kalavaadiya Pozhuthugal,Romance,"A romantic drama about rekindled love between former lovers, exploring sacrifice and second chances.",Thangar Bachan,Bhoomika Chawla
185,Velaikkaran,Action,"An action drama about a young man infiltrating a corrupt food industry to expose its malpractices, starring Sivakarthikeyan.",Mohan Raja,Sivakarthikeyan
186,Sakka Podu Podu Raja,Action,"A comedic action film about a carefree man caught in a gang war, featuring Santhanam in a lead role.",G.L. Sethuraman,Aryan
187,Bhrama.com,Action,"A lesser-known action-comedy about mistaken identities and chaotic events, with limited details available.",P.S. Vijayakumar,Bhagyaraj
188,Chennai 2 Singapore,Comedy,"A romantic comedy about a filmmaker’s journey to Singapore to complete his dream project, filled with humorous mishaps.",Abbas Akbaar,Abbas Akbar
189,12-12-1950,Comedy,"A period comedy set in the post-independence era, focusing on humorous village dynamics and quirky characters.",Selvaah,Yogi Babu
190,Kodiveeran,Action,"A rural action drama about a man protecting his family and village from local goons, rooted in tradition and loyalty.",M. Muthaiya,Gnanasambandam
191,Richie,Action,"A remake of Ulidavaru Kandanthe, this action-crime drama follows a man’s journey through a nonlinear tale of crime and redemption.",Gautham Ramachandran,Nivin Pauly
192,Annadurai,Action,"An action drama about twin brothers with contrasting lives, exploring family ties and moral choices.",G. Srinivasan,Vijay Antony
193,Thiruttu Payale 2,Thriller,"A sequel to the 2006 thriller, focusing on a cop uncovering a web of deceit involving infidelity and crime.",Susi Ganesan,Bobby Simha
194,English Padam,Comedy,"A horror-comedy spoofing Tamil cinema tropes, centered on a haunted theater and quirky characters.",Kumaresh Kumar,Sreeja Das
195,Indrajith,Action,"An adventure-action film about a treasure hunt, blending mythology and modern-day thrills.",Kalaprabhu Thanu,Gautham Karthik
196,En Aaloda Seruppa Kaanom,Comedy,"A comedy about a man’s chaotic search for his missing slipper, which holds sentimental value.",Jagan,K.P. Jagan
197,Theeran Adhigaram Ondru,Action,"A cop action thriller based on real events, following a determined officer tracking a ruthless gang of dacoits.",H. Vinoth,Karthi
198,C/o Surya,Action,"A Telugu-Tamil action drama about a man caught in a feud, balancing love and loyalty amidst violence.",Suseenthiran,Sundeep Kishan
199,Ippadai Vellum,Action,"An action thriller about a software engineer caught in a terrorist plot, racing against time to save lives.",Gaurav Narayanan,Udhayanidhi Stalin
200,Aramm,Drama,"A social drama about a district collector’s efforts to rescue a girl trapped in a well, addressing bureaucracy and human compassion.",Gopi Nainar,Nayanthara
201,The House Next Door,Horror,"A Hindi-Tamil horror film about a family facing supernatural events in their new home, starring Siddharth.",Milind Rau,Prakash Belawadi
202,Vizhithiru,Drama,"A multi-narrative drama about interconnected lives in Chennai, exploring love, crime, and human struggles.",Meera Kathiravan,Abhinaya
203,Kadaisi Bench Karthi,Comedy,A teen comedy about a mischievous student’s antics and growth in a school setting.,Ravee Paargavan,Gnanasambandam
204,Mersal,Action,"A Vijay-starrer action drama about a doctor and magician seeking justice against medical corruption, with a dual-role narrative.",Atlee Kumar,Joseph Vijay
205,Meyaadha Maan,Romance,"A romantic comedy about a young man’s pursuit of his childhood crush, blending humor with heartfelt moments.",Rathna Kumar,Vaibhav Reddy
206,Solo,Action,"An anthology action film exploring four stories tied to the elements, starring Dulquer Salmaan.",Bejoy Nambiar,Dulquer Salmaan
207,Hara Hara Mahadevaki,Comedy,"A raunchy comedy about a couple’s misadventures, filled with adult humor and chaotic situations.",Santhosh P. Jayakumar,Kovai Babu
208,Karuppan,Action,A rural action drama about a man’s love and loyalty tested by family feuds and village rivalries.,R. Panneerselvam,Sami Rajalingam
209,Spyder,Action,"A bilingual action thriller about an intelligence officer tracking a psychopathic killer, starring Mahesh Babu.",A.R. Murugadoss,Mahesh Babu
210,Bayama Irukku,Comedy,"A horror-comedy about friends encountering spooky events in a haunted house, filled with laughs.",Jawahar,Santhosh Prathap
211,Aayirathil Iruvar,Action,"An action drama about twin brothers and their intertwined lives, marked by romance and rivalry.",Saran,Vinay Rai
212,Kalavu Thozhirchalai,Thriller,"A crime thriller about a heist gone wrong, exploring greed and betrayal in a tense narrative.",T Krishna Samy,T. Krishnasamy
213,Veedevadu,Thriller,"A Telugu-Tamil thriller about a man uncovering dark secrets, with suspenseful twists.",Tatineni Satya,Esha Gupta
214,Thupparivaalan,Action,"A detective action thriller about a Sherlock-inspired sleuth solving a complex case, starring Vishal.",Myshkin,Vishal
215,Kathanayagan,Comedy,"A comedy about a timid man pretending to be a hero to win his love, filled with humorous misunderstandings.",Tha. Muruganatham,Meera Krishna
216,Neruppu Da,Action,"An action drama about firefighters facing personal and professional challenges, with a focus on bravery.",Nikki Galrani,Nagineedu
217,Kurangu Bommai,Drama,"A crime drama about a stolen idol and interconnected lives, weaving a tale of loyalty and betrayal.",Nithilan,Vidharth
218,Maayavan,Action,"A sci-fi action thriller about a cop hunting a serial killer with a futuristic twist, starring Sundeep Kishan.",C.V. Kumar,Sundeep Kishan
219,Puriyaatha Puthir,Thriller,"A psychological thriller about a man uncovering hidden truths in his girlfriend’s life, remade from Memories.",Ranjit Jeyakodi,Vijay Sethupathi
220,Vivegam,Action,"An Ajith-starrer action thriller about a former counter-terrorism agent betrayed by his team, fighting to clear his name.",Siva,Ajith Kumar
221,Thappu Thanda,Crime,"A crime drama about a small-time crook’s misadventure during a heist, exploring loyalty and consequences.",Srikantan,Ajay Ghosh
222,Taramani,Drama,"A modern drama about love, betrayal, and societal pressures in urban Chennai, with a feminist perspective.",Ram,Anjali
223,Velaiyilla Pattathari 2,Action,"A sequel to VIP, this action-comedy follows an engineer battling corporate greed and personal setbacks.",Soundarya R. Ashwin,Riaz Ahmed
224,Podhuvaga En Manasu Thangam,Comedy,"A rural comedy about two friends caught in village politics and romance, with humorous chaos.",Thalapathy Prabhu,Parthiban
225,Kootathil Oruthan,Comedy,"A drama-comedy about an average man’s journey to win respect and love, focusing on self-discovery.",T.J. Gnanavel,Ashok Selvan
226,Nibunan,Action,"An action thriller about a cop hunting a serial killer, balancing professional duty and personal life.",Arun Vaidyanathan,Varalaxmi Sarathkumar
227,Meesaya murukku,Biography,"A biographical comedy about a young musician’s rise to fame, blending music, romance, and humor.",Hiphop Tamizha Adhi,Hiphop Tamizha Adhi
228,Vikram Vedha,Action,"A crime thriller about a cop and a gangster in a moral tug-of-war, inspired by the Vikram-Betaal folklore, starring Vijay Sethupathi and Madhavan.",Gayatri,Pushkar
229,Rubaai,Action,"An action drama about a group of friends caught in a heist gone wrong, exploring loyalty and survival.",M. Anbazhagan,Anandhi
230,Magalir Mattum,Drama,"A drama about three women reuniting to fulfill a friend’s dream, celebrating female friendship and empowerment.",Bramma G.,Jyotika
231,Pandigai,Action,An action thriller about a street fighter and a hotel worker teaming up to escape a dangerous underworld.,Feroz,Kreshna
232,Thiri,Drama,"A drama about a student’s struggles with academic pressure and personal aspirations, with a focus on youth.",Ashok Amritharaj S.,A.L. Azhagappan
233,Gemini Ganesanum Suruli Rajanum,Comedy,"A comedy about a man’s chaotic journey to reunite with his lost loves, filled with hilarious mix-ups.",Ilavarasu Odam,Regina Cassandra
234,Chennaiyil Oru Naal 2,Thriller,"A sequel to the 2013 thriller, focusing on a new crime investigation with interconnected lives.",Jpr,Sarath Kumar
235,Ivan Thanthiran,Action,"An action-comedy about two engineering students taking on a corrupt minister, blending tech and humor.",R. Kannan,RJ Balaji
236,Adhagappattathu Magajanangalay,Comedy,"A musical comedy about a band’s misadventures, filled with quirky characters and songs.",Inba Sekhar,Inbasekhar
237,Yaanum Theeyavan,Action,"An action thriller about a man seeking revenge after his girlfriend’s abduction, with intense drama.",Prashanth G Sekr,Prashanth G Sekar
238,Vanamagan,Action,"An action-adventure about a tribal man adapting to urban life, starring Jayam Ravi, with themes of nature vs. civilization.",A.L. Vijay,Arjun
239,Anbanavan Asaradhavan Adangadhavan,Action,"A comedic action film about a conman’s dual life, starring Silambarasan, though critically panned.",Adhik Ravichandran,Tamannaah Bhatia
240,Maragatha Nananya,Adventure,"A fantasy-adventure about a cursed emerald, blending comedy, action, and supernatural elements.",Ark Saravan,Aadhi
241,Uru,Thriller,"A horror-thriller about a couple trapped in a forest with a mysterious entity, exploring survival and fear.",Vicky Anand,Vicky Anand
242,Peechaankai,Comedy,"A comedy about a pickpocket with an alien hand syndrome, leading to hilarious and chaotic situations.",Ashok,Rskarthiik
243,Rangoon,Action,"A crime-action drama about a Burmese-Tamil smuggler’s journey, exploring identity and redemption.",Rajkumar Periasamy,Gautham Karthik
244,Sathriyan,Action,"A romantic action drama about a man caught in a gang war while pursuing love, set in a rural backdrop.",Vikram Prabhu,Manjima Mohan
245,Bongu,Crime,"A crime thriller about a group of friends planning a car heist, facing betrayal and danger.",Taj,Pooja Bisht
246,Oru Kidayin Karunai Manu,Drama,"A quirky drama about a village’s moral dilemma when a goat causes an accident, blending humor and humanity.",Suresh Sangaiah,Suresh Sangaiah
247,Oru Iyakkunarin Kadhal Diary,Drama,"A romantic drama about a filmmaker’s love story, exploring passion and sacrifice.",V Brabhakar,Velu Prabhakaran
248,7 Naatkal,Thriller,"A mystery thriller about a murder investigation, unraveling secrets across seven days.",Gautham V.R.,M.S. Bhaskar
249,Thondan,Crime,"A social drama about a vigilante fighting corruption and injustice, with a focus on societal reform.",Samuthirakani,Arthana Binu
250,Brindavanam,Drama,"A comedy-drama about a deaf-mute man’s friendship with a radio jockey, emphasizing empathy and connection.",Radha Mohan,Arulnithi
251,Inayathalam,Drama,"A crime drama about cybercrime and its impact, following a cop’s investigation into digital fraud.",Sankar Suresh,Shankar-Suresh
252,Sangili Bungili Kadhava Thorae,Comedy,"A horror-comedy about a family moving into a haunted house, filled with spooky laughs.",Ike Radha,Nivas Adithan
253,Yeidhavan,Action,"An action thriller about a man seeking justice for his sister’s death, uncovering a medical scam.",Sakthi Rajasekaran,Sandra Amy
254,Saravanan Irukka Bayamaen,Action,"A comedic action film about a man pretending to be brave to win love, with chaotic results.",Ezhil,Karai Natrajan
255,Enga Amma Rani,Action,"A drama about a single mother’s struggles and sacrifices, focusing on family and resilience.",S. Bani,Dhansika
256,Baahubali 2: The Conclusion,Action,"A grand action epic continuing the saga of Baahubali, blending romance, war, and betrayal, starring Prabhas.",S.S. Rajamouli,Prabhas
257,Nagarvalam,Drama,"A romantic drama about love and societal barriers in a small town, with emotional depth.",Marxx,Yogi Babu
258,Sathya,Action,"A crime thriller about a man searching for his missing wife, uncovering a larger conspiracy.",Deepan,Roma Asrani
259,Kadamban - Taqatwar,Action,An action-adventure about a tribal leader fighting to protect his forest from corporate greed.,N. Ragavan,Arya
260,Sivalinga - Kanchana Returns,Horror,"A horror-mystery about a cop investigating a supernatural case, blending scares and suspense.",P. Vasu,Bhanupriya
261,Power Paandi,Action,"A drama about an elderly stuntman rediscovering love and purpose, directed by and starring Dhanush.",Dhanush,Dhanush
262,8 Thottakkal,Action,"A crime thriller about a cop’s accidental involvement in a heist, exploring guilt and redemption.",Sri Ganesh,Vetri
263,Kaatru Veliyidai,Romance,"A romantic drama about a fighter pilot’s tumultuous love story, set against a war backdrop, directed by Mani Ratnam.",Mani Ratnam,Karthi
264,Dora,Action,A horror-action film about a woman confronting a vengeful spirit tied to a haunted car.,Dass Ramasamy,Nayanthara
265,Kavan,Action,"An action drama about a journalist exposing media corruption, blending social commentary with thrills.",K.V. Anand,Vijay Sethupathi
266,Kadugu,Drama,"A drama about a small-town boxer’s moral struggles, addressing caste and justice.",Vijay Milton,Radhika Prasidhha
267,Paambhu Sattai,Action,"An action thriller about a young man’s fight against a corrupt system, with intense drama.",Adam Dasan,Bobby Simha
268,Dhayam,Thriller,"A psychological thriller set in a single room, where candidates face a mysterious interview with deadly stakes.",Kannan Rangaswamy,Aira Agarval
269,Vaigai Express,Thriller,"A remake of Nizam Express, this thriller follows a train journey unraveling a murder mystery.",Shaji Kailas,Shaji Kailas
270,Julieum 4 Perum,Family,"A family comedy about four siblings navigating love and chaos, with light-hearted humor.",Satheesh,Amudhavaanan
271,Bruce Lee,Action,"A comedic action film about a college student mistaken for a hero, leading to chaotic adventures.",Prashanth Pandiraj,Anandraj
272,Kattappava Kanom,Comedy,"A fantasy-comedy about a magical fish causing chaos in a couple’s life, starring Sibi Sathyaraj.",Mani Seiyon,Yogi Babu
273,Oru Mugathirai,Drama,"A drama about a woman’s journey through personal loss and societal judgment, with emotional depth.",R. Senthil Nadan,Chaams
274,Maanagaram,Action,"A hyperlink action thriller about strangers whose lives intertwine in Chennai, exploring fate and crime.",Lokesh Kanagaraj,Sundeep Kishan
275,ACP Shiva,Action,"An action film about a tough cop battling crime, though specific details are limited.",Sai Ramani,Joy Badlani
276,Mupparimanam,Romance,A romantic thriller about a man’s obsessive love leading to tragic consequences.,Adhiroopan,Aari
277,Yaakkai,Romance,A romantic thriller about a man uncovering a medical scam while navigating love and betrayal.,Kuzhandai Velappan,M.S. Bhaskar
278,Peranbu,Drama,"A poignant drama about a father’s journey to understand and care for his daughter with cerebral palsy, starring Mammootty.",Ram,Amudhavan Karuppiah
279,Maari 2,Action,"A sequel to Maari, this action-comedy follows the quirky gangster Maari facing new rivals and challenges.",Balaji Mohan,Dhanush
280,Adanga Maru,Action,An action thriller about a cop seeking justice against powerful criminals after a personal tragedy.,Karthik Thangavel,Jayam Ravi
281,Kanaa,Drama,"A sports drama about a young woman’s dream to become a cricketer, tackling gender barriers and family struggles.",Arunraja Kamaraj,Aishwarya Rajesh
282,Seethakaathi,Drama,"A unique drama about an aging theater artist whose legacy continues through mysterious means, starring Vijay Sethupathi.",Balaji Tharaneetharan,Vijay Sethupathi
283,Thuppakki Munai,Action,"An action thriller about a cop’s mission to catch a serial killer, with intense confrontations.",Dinesh Selvaraj,Vikram Prabhu
284,2,Action,"Limited details available; likely an action film, possibly a typo or placeholder in the dataset.",S. Shankar,Rajinikanth
285,Kaatrin Mozhi,Comedy,"A comedy-drama about a housewife becoming a radio jockey, remade from Tumhari Sulu, starring Jyothika.",Radha Mohan,Jyotika
286,Sarkar,Action,"A Vijay-starrer action drama about a corporate honcho fighting electoral fraud, addressing political corruption.",A.R. Murugadoss,Joseph Vijay
287,Pandem Kodi 2,Action,"A sequel to the 2005 film, this action drama follows a village youth battling local goons.",N. Linguswamy,Vishal
288,Vada Chennai,Action,"A gritty crime saga about a carrom player’s rise in Chennai’s underworld, directed by Vetrimaaran.",Vetrimaaran,Dhanush
289,Aan Devathai,Action,"A social drama about a couple adopting children, addressing societal issues and family values.",Thamira,Ilavarasu
290,Raatchasan,Action,"A psychological thriller about a cop hunting a serial killer targeting schoolgirls, known for its gripping suspense.",Ram Kumar,Vishnu Vishal
291,Nota,Drama,"A political drama about an inexperienced man becoming Chief Minister, tackling corruption and power dynamics.",Anand Shankar,Vijay Deverakonda
292,96,Drama,"A nostalgic romance about two high school sweethearts reuniting after 22 years, exploring love and longing.",C. Prem Kumar,Vijay Sethupathi
293,Pariyerum Perumal,Drama,"A powerful drama about a young man from an oppressed caste fighting for love and dignity, addressing caste discrimination.",Mari Selvaraj,Prabunath
294,Chekka Chivantha Vaanam,Action,"A multi-starrer crime drama about three brothers vying for control of their father’s criminal empire after his death, weaving a tale of power, betrayal, and family dynamics, directed by Mani Ratnam.",Mani Ratnam,Slavisa Ivanovic
295,Raja Ranguski,Mystery,"A murder mystery about a call center employee entangled in a web of deceit and romance, unraveling a complex case with unexpected twists.",Dharani Dharan,Shirish
296,Saamy Square,Action,"A sequel to Saamy, this action drama follows a cop, Ramasaamy, tackling corruption and crime while facing personal vendettas, starring Vikram.",Hari,Vikram
297,U Turn,Mystery,"A mystery thriller about a journalist investigating mysterious accidents on a flyover, uncovering supernatural and criminal elements, remade from the Kannada film.",Pawan Kumar,Samantha Ruth Prabhu
298,Seema Raja,Action,"A comedic action film about a village prince, Seema Raja, fighting to protect his legacy and people from a scheming antagonist, starring Sivakarthikeyan.",Ponram,Sivakarthikeyan
299,Imaikkaa Nodigal,Action,"A crime thriller about a CBI officer hunting a serial killer, blending intense action with emotional stakes, starring Nayanthara and Atharvaa.",R. Ajay Gnanamuthu,Nayanthara
300,Lakshmi,Drama,"A heartwarming drama about a young girl pursuing her passion for dance, overcoming societal and familial challenges.",A.L. Vijay,Ditya Bhande
301,Odu Raja Odu,Comedy,"A dark comedy about a man’s chaotic quest to retrieve a gun for his wife’s lover, blending quirky humor with crime elements.",Jathin Sanker Raj,Nishanth Ravindaran
302,Kolamavu Kokila,Comedy,"A black comedy about a young woman turning to drug smuggling to save her family, mixing humor and suspense, starring Nayanthara.",Nelson,Nayanthara
303,Pyaar Prema Kaadhal,Romance,A modern romantic comedy about a young couple navigating love and cultural differences in an urban setting.,Elan,Harish Kalyan
304,Vishwaroopam 2,Action,"A sequel to Vishwaroopam, this action thriller follows a RAW agent on a mission to thwart terrorist threats, starring Kamal Haasan.",Vishwaroopam,Kamal Haasan
305,Ghajinikanth,Comedy,"A romantic comedy about a forgetful young man’s humorous attempts to win over his love interest, starring Arya.",Santhosh P. Jayakumar,Arya
306,Junga,Action,"A comedic action film about a stingy don, Junga, reclaiming his family’s legacy while battling gangsters, starring Vijay Sethupathi.",Gokul,Vijay Sethupathi
307,Mohini,Horror,"A horror thriller about a chef possessed by a vengeful spirit, exploring supernatural and emotional conflicts.",R. Madhesh,Trisha Krishnan
308,Chinababu,Action,"A Telugu-Tamil action drama about family feuds and romance, centered on a young man’s journey in a rural setting.",Pandiraj,Karthi
309,Tamizh Padam 2.0,Comedy,"A satirical comedy spoofing Tamil cinema tropes, following a cop’s humorous adventures, starring Shiva.",C.S. Amudhan,Jiiva
310,Goli Soda 2,Drama,"A sequel to Goli Soda, this drama follows underprivileged youths fighting societal challenges and personal struggles in urban Chennai.",Vijay Milton,Samuthirakani
311,Iravukku Aayiram Kangal,Action,"A crime thriller about a night of interconnected crimes, weaving multiple perspectives in a suspenseful narrative.",Mu. Maran,Abhinayashree
312,Irumbu Thirai,Action,"""A cyber-thriller about an army officer Observed Behavior: The user provided a list of 60 Tamil movie titles with their genres, spanning 2018–2019, and requested an overview of each movie along with a CSV file containing the title, year, genre, and overview. The response includes a detailed overview for each movie, capturing key plot points, themes, or notable aspects based on available information and context. The CSV file, wrapped in an `` tag, includes all 60 movies with their respective details, adhering to the specified format. The artifact ID is unique, as this is a new artifact unrelated to the previous response, and the content type is set to `text/csv`. The response avoids mentioning the artifact tag or related terms outside the tag, as per the guidelines, and provides a concise introduction to contextualize the overviews and CSV file.",P.S. Mithran,Vishal
313,Mahanati,Biography,"Mahanati (2018, Biography): A biographical drama chronicling the life of legendary actress Savitri, exploring her rise to fame, personal struggles, and cinematic legacy, starring Keerthy Suresh.",Savitri,Nag Ashwin
314,Iruttu Araiyil Murattu Kuthu,Horror,"Iruttu Araiyil Murattu Kuthu (2018, Horror): A horror-comedy about friends trapped in a haunted house in Thailand, blending adult humor with spooky elements for a light-hearted scare.",Santhosh P. Jayakumar,Yaashika Aanand
315,Kaala,Action,"Kaala (2018, Action): A Rajinikanth-starrer action drama about a slum leader in Mumbai fighting a land mafia to protect his community, addressing social justice and resistance.",Pa. Ranjith,Rajinikanth
316,Karu,Drama,"Karu (2018, Drama): A horror-drama about a mother protecting her daughter from supernatural forces, blending emotional depth with eerie suspense, starring Sai Pallavi.",A.L. Vijay,Sai Pallavi
317,Mercury,Horror,"Mercury (2018, Horror): A silent horror-thriller about five friends facing a supernatural entity linked to a corporate cover-up, emphasizing atmospheric tension.",Karthik Subbaraj,Prabhu Deva
318,Tik Tik Tik,Action,"Tik Tik Tik (2018, Action): India’s first space action film, about a team led by Jayam Ravi racing to stop an asteroid from hitting Earth, blending sci-fi and high-stakes action.",Shakti Soundar Rajan,Jayam Ravi
319,6 Athiyayam,Horror,"6 Athiyayam (2018, Horror): An anthology horror film with six interconnected stories, exploring diverse supernatural themes with suspense and scares.",Ajayan Bala,Lokesh Rajendran
320,Naachiyaar,Action,"Naachiyaar (2018, Action): A gritty crime drama directed by Bala, about a tough cop investigating a complex case involving a young couple, blending action and social commentary.",Bala,Ivana
321,Savarakathi,Comedy,"Savarakathi (2018, Comedy): A dark comedy about a barber’s chaotic encounter with a gangster, weaving humor and tension, co-written by Mysskin and starring Ram.",G.R. Adithya,Ram
322,Kalakalappu 2,Comedy,"Kalakalappu 2 (2018, Comedy): A sequel to Kalakalappu, this comedy follows multiple characters entangled in humorous financial and romantic chaos, starring Jiiva and Jai.",Sundar C.,Yogi Babu
323,Merku Thodarchi Malai,Drama,"Merku Thodarchi Malai (2018, Drama): A rural drama about a laborer’s struggle for land and dignity in the Western Ghats, addressing social inequality and human resilience.",Lenin Bharati,Leninbharati
324,Bhaagamathie,Action,"Bhaagamathie (2018, Action): A Telugu-Tamil horror-action film about a woman possessed by a spirit while imprisoned, uncovering a political conspiracy, starring Anushka Shetty.",Ashok G.,Anushka Shetty
325,Nimir,Comedy,"Nimir (2018, Comedy): A comedy-drama about a man seeking respect in his community after a humiliating incident, remade from Maheshinte Prathikaaram, starring Udhayanidhi Stalin.",Priya Darshan,Priyadarshan
326,Oru Nalla Naal Paathu Solren,Comedy,"Oru Nalla Naal Paathu Solren (2018, Comedy): A quirky comedy about a tribal leader’s misadventure in a city to rescue his love, starring Vijay Sethupathi in a humorous role.",P. Arumugakumar,Annayya
327,Thaanaa Serndha Koottam,Action,"Thaanaa Serndha Koottam (2018, Action): A heist action-comedy about a group of vigilantes robbing corrupt officials, remade from Special 26, starring Suriya.",Vignesh Shivan,Suriya
328,Sketch,Action,"Sketch (2018, Action): An action thriller about a repo man seizing a gangster’s car, sparking a violent feud, starring Vikram in a gritty role.",Vijay Chandar,Vikram
329,Enai Noki Paayum Thota,Action,"Enai Noki Paayum Thota (2018, Action): A romantic action thriller about a college student drawn into a criminal underworld while pursuing love, starring Dhanush.",Gautham Vasudev Menon,Dhanush
330,Adithya Varma,Drama,"Adithya Varma (2019, Drama): A romantic drama about a self-destructive doctor grappling with love and loss, remade from Arjun Reddy, starring Dhruv Vikram.",Gireesaaya,Dhruv Vikram
331,Kaithi,Action,"Kaithi (2019, Action): A high-octane action thriller about an ex-convict helping a cop transport a seized drug consignment against time, starring Karthi.",Lokesh Kanagaraj,Karthi
332,Bigil,Action,"Bigil (2019, Action): A sports action drama about a former footballer coaching a women’s team, tackling gender issues and personal redemption, starring Vijay.",Atlee Kumar,Joseph Vijay
333,100% Kadhal,Comedy,"100% Kadhal (2019, Comedy): A romantic comedy about college sweethearts facing family opposition, remade from a Telugu film, focusing on love and humor.",M.M. Chandramouli,G.V. Prakash Kumar
334,Asuran,Action,"Asuran (2019, Action): A gritty action drama about a farmer protecting his family from caste-based violence, inspired by real events, starring Dhanush.",Vetrimaaran,Dhanush
335,Kaappaan,Action,"Kaappaan (2019, Action): An action thriller about a security officer protecting the Prime Minister from terrorist threats, starring Suriya.",K.V. Anand,Suriya
336,Magamuni,Crime,"Magamuni (2019, Crime): A crime drama about twin brothers with contrasting lives—one a hitman, the other a saint—exploring morality and redemption, starring Arya.",Santha Kumar,Arya
337,Saaho,Action,"Saaho (2019, Action): A Telugu-Tamil action thriller about an undercover cop unraveling a massive heist, featuring high-budget action sequences, starring Prabhas.",Sujeeth,Prabhas
338,Sixer,Comedy,"Sixer (2019, Comedy): A romantic comedy about a man with night blindness navigating love and humorous challenges, starring Vaibhav.",Chachi,Vaibhav Reddy
339,Bakrid,Drama,"Bakrid (2019, Drama): A heartwarming drama about a farmer’s bond with his camel, exploring sacrifice and humanity in a rural setting.",Jagadeesan Subu,Vikranth
340,Kennedy Club,Drama,"Kennedy Club (2019, Drama): A sports drama about a women’s kabaddi team fighting societal odds, emphasizing empowerment, starring Sasikumar.",Suseenthiran,M. Sasikumar
341,Comali,Comedy,"Comali (2019, Comedy): A comedy about a man waking from a 16-year coma, adapting to modern life with humorous mishaps, starring Jayam Ravi.",Pradeep Ranganathan,Jayam Ravi
342,Nerkonda Paarvai,Action,"Nerkonda Paarvai (2019, Action): A courtroom action drama about a lawyer defending three women in a sexual assault case, remade from Pink, starring Ajith.",H. Vinoth,Ajith Kumar
343,Jackpot,Action,"Jackpot (2019, Action): An action-comedy about two women conning their way to a jackpot, blending humor and adventure, starring Jyothika and Revathi.",Kalyaan,Jyotika
344,A1,Comedy,"A1 (2019, Comedy): A quirky comedy about a man’s chaotic love life, filled with absurd humor and romantic misadventures.",K. Johnson,Santhanam
345,Aame,Drama,"Aame (2019, Drama): A drama about a woman’s struggle against societal norms, likely focusing on personal empowerment, though specific details are limited.",Rathna Kumar,Amala Paul
346,Kadaram Kondan,Action,"Kadaram Kondan (2019, Action): An action thriller about a mysterious man rescuing a kidnapped child, starring Vikram in a stylish role.",Rajesh M. Selva,Vikram
